"customer_ID","state","group_size","homeowner","car_age","car_value","risk_factor","age_oldest","age_youngest","married_couple","C_previous","duration_previous","Alast","Blast","Clast","Dlast","Elast","Flast","Glast","numQuote","costFirst","costLast"
10000001,"OK",1,0,9,"f",,24,24,0,3,9,2,1,1,3,1,3,2,1,611,611
10000002,"PA",1,1,7,"f",,74,74,0,2,15,2,0,2,3,1,2,2,1,695,695
10000003,"AR",1,0,4,"d",4,26,26,0,3,1,1,0,2,1,0,2,2,2,625,628
10000004,"OK",1,0,13,"f",3,22,22,0,1,3,2,0,1,1,1,2,3,8,711,692
10000006,"WA",1,0,11,"e",,27,27,0,3,12,0,0,1,1,0,0,1,1,625,625
10000008,"FL",1,1,11,"e",1,75,75,0,1,9,0,0,1,3,0,2,3,5,547,567
10000009,"KY",1,0,7,"f",,25,25,0,1,1,0,1,1,2,0,0,2,3,627,627
10000010,"PA",2,1,12,"d",,75,75,1,1,10,1,0,1,2,0,1,2,1,644,644
10000011,"MO",1,1,11,"h",3,56,56,0,3,2,1,0,3,3,0,2,2,1,581,581
10000012,"FL",1,0,7,"d",4,22,22,0,3,7,2,0,2,3,0,3,3,3,738,730
10000015,"NY",2,0,1,"f",2,32,30,0,3,2,1,1,3,3,1,0,2,1,733,733
10000017,"WA",1,1,8,"g",,46,46,0,2,1,1,1,3,3,1,1,1,1,667,667
10000018,"KY",1,0,3,"f",3,58,58,0,3,11,1,1,3,3,1,1,1,2,600,605
10000020,"NV",1,0,12,"e",3,50,50,0,3,4,0,1,2,3,0,2,2,3,585,585
10000021,"OH",1,1,6,"e",,54,48,1,1,2,0,1,1,3,0,1,2,2,570,570
10000022,"FL",2,1,15,"h",2,59,57,1,4,1,1,1,4,3,1,1,3,4,629,617
10000024,"AL",1,1,26,"c",1,75,75,0,1,3,0,0,1,1,0,0,2,1,555,555
10000029,"WA",1,1,14,"e",2,68,68,0,3,5,0,0,3,3,0,0,2,2,605,597
10000030,"PA",1,0,14,"d",4,23,23,0,1,6,0,0,1,1,0,0,1,4,638,628
10000035,"FL",1,0,7,"g",2,24,24,0,2,9,1,1,1,3,1,2,3,1,670,670
10000044,"NV",2,1,1,"g",2,54,50,1,3,15,2,1,3,3,1,1,3,1,603,603
10000045,"OH",1,1,17,"c",3,40,40,0,3,5,1,1,3,3,1,1,2,2,571,583
10000046,"NE",2,1,7,"g",3,33,31,1,3,6,1,0,3,3,0,2,1,1,581,581
10000050,"AR",1,0,5,"d",,28,28,0,2,4,1,0,2,2,0,0,2,1,644,644
10000051,"OK",1,0,13,"e",3,44,44,0,1,8,1,1,2,1,1,2,2,3,517,616
10000053,"CO",1,0,12,"g",4,23,23,0,4,5,1,1,4,3,0,2,2,2,605,615
10000056,"MO",2,0,9,"d",,49,49,0,3,14,1,1,2,3,0,1,1,1,598,598
10000058,"TN",1,1,13,"f",,57,57,0,2,2,1,1,2,2,1,1,1,3,642,642
10000065,"OH",4,0,0,"f",3,65,27,1,3,6,1,0,3,3,0,2,3,3,675,675
10000067,"OK",1,1,14,"f",,20,20,0,1,4,1,0,1,2,0,2,2,6,751,677
10000070,"ME",1,0,2,"e",4,27,27,0,1,2,1,0,2,3,0,1,1,3,649,622
10000071,"KY",1,0,7,"e",,29,23,1,1,2,1,0,1,3,0,2,1,1,645,645
10000073,"FL",2,0,0,"f",2,28,22,1,3,1,1,0,3,3,0,2,3,6,693,729
10000074,"CO",2,1,5,"e",,44,42,1,2,5,1,0,1,1,0,2,2,1,574,574
10000081,"OH",2,1,12,"e",4,60,57,1,3,4,1,1,3,3,0,1,3,5,599,599
